in s,C1 in V
-4.1532E-06,2.28096E+00
-4.1528E-06,2.29561E+00
-4.1524E-06,2.31025E+00
-4.1520E-06,2.29072E+00
-4.1516E-06,2.28584E+00
-4.1512E-06,2.28096E+00
-4.1508E-06,2.30537E+00
-4.1504E-06,2.29561E+00
-4.1500E-06,2.31025E+00
-4.1496E-06,2.29561E+00
-4.1492E-06,2.29561E+00
-4.1488E-06,2.29561E+00
-4.1484E-06,2.29561E+00
-4.1480E-06,2.29072E+00
-4.1476E-06,2.30537E+00
-4.1472E-06,2.29561E+00
-4.1468E-06,2.28096E+00
-4.1464E-06,2.28584E+00
-4.1460E-06,2.31025E+00
-4.1456E-06,2.29072E+00
-4.1452E-06,2.30537E+00
-4.1448E-06,2.30049E+00
-4.1444E-06,2.29561E+00
-4.1440E-06,2.28584E+00
-4.1436E-06,2.31025E+00
-4.1432E-06,2.29561E+00
-4.1428E-06,2.29561E+00
-4.1424E-06,2.31025E+00
-4.1420E-06,2.29561E+00
-4.1416E-06,2.30049E+00
-4.1412E-06,2.29561E+00
-4.1408E-06,2.29072E+00
-4.1404E-06,2.28584E+00
-4.1400E-06,2.29561E+00
-4.1396E-06,2.30049E+00
-4.1392E-06,2.31025E+00
-4.1388E-06,2.31025E+00
-4.1384E-06,2.30049E+00
-4.1380E-06,2.29072E+00
-4.1376E-06,2.29561E+00
-4.1372E-06,2.28584E+00
-4.1368E-06,2.28584E+00
-4.1364E-06,2.29561E+00
-4.1360E-06,2.30537E+00
-4.1356E-06,2.30049E+00
-4.1352E-06,2.28584E+00
-4.1348E-06,2.27607E+00
-4.1344E-06,2.29072E+00
-4.1340E-06,2.29072E+00
-4.1336E-06,2.29072E+00
-4.1332E-06,2.30049E+00
-4.1328E-06,2.29561E+00
-4.1324E-06,2.29561E+00
-4.1320E-06,2.29072E+00
-4.1316E-06,2.30049E+00
-4.1312E-06,2.28584E+00
-4.1308E-06,2.29561E+00
-4.1304E-06,2.29561E+00
-4.1300E-06,2.29561E+00
-4.1296E-06,2.28096E+00
-4.1292E-06,2.31514E+00
-4.1288E-06,2.29072E+00
-4.1284E-06,2.30537E+00
-4.1280E-06,2.29072E+00
-4.1276E-06,2.28584E+00
-4.1272E-06,2.29072E+00
-4.1268E-06,2.29072E+00
-4.1264E-06,2.29561E+00
-4.1260E-06,2.30537E+00
-4.1256E-06,2.29561E+00
-4.1252E-06,2.28584E+00
-4.1248E-06,2.29561E+00
-4.1244E-06,2.29561E+00
-4.1240E-06,2.29072E+00
-4.1236E-06,2.29561E+00
-4.1232E-06,2.29561E+00
-4.1228E-06,2.29561E+00
-4.1224E-06,2.30049E+00
-4.1220E-06,2.29072E+00
-4.1216E-06,2.29072E+00
-4.1212E-06,2.28584E+00
-4.1208E-06,2.28096E+00
-4.1204E-06,2.29072E+00
-4.1200E-06,2.27607E+00
-4.1196E-06,2.28096E+00
-4.1192E-06,2.29072E+00
-4.1188E-06,2.27607E+00
-4.1184E-06,2.29072E+00
-4.1180E-06,2.29561E+00
-4.1176E-06,2.28096E+00
-4.1172E-06,2.31025E+00
-4.1168E-06,2.29561E+00
-4.1164E-06,2.29561E+00
-4.1160E-06,2.27607E+00
-4.1156E-06,2.28584E+00
-4.1152E-06,2.30537E+00
-4.1148E-06,2.29561E+00
-4.1144E-06,2.28584E+00
-4.1140E-06,2.29561E+00
-4.1136E-06,2.27607E+00
-4.1132E-06,2.29561E+00
-4.1128E-06,2.28584E+00
-4.1124E-06,2.28584E+00
-4.1120E-06,2.28096E+00
-4.1116E-06,2.29561E+00
-4.1112E-06,2.28096E+00
-4.1108E-06,2.28584E+00
-4.1104E-06,2.29561E+00
-4.1100E-06,2.30537E+00
-4.1096E-06,2.27607E+00
-4.1092E-06,2.29561E+00
-4.1088E-06,2.27119E+00
-4.1084E-06,2.27607E+00
-4.1080E-06,2.28584E+00
-4.1076E-06,2.29072E+00
-4.1072E-06,2.29561E+00
-4.1068E-06,2.29561E+00
-4.1064E-06,2.29072E+00
-4.1060E-06,2.28584E+00
-4.1056E-06,2.28584E+00
-4.1052E-06,2.29561E+00
-4.1048E-06,2.30049E+00
-4.1044E-06,2.28096E+00
-4.1040E-06,2.28096E+00
-4.1036E-06,2.29561E+00
-4.1032E-06,2.28096E+00
-4.1028E-06,2.28096E+00
-4.1024E-06,2.27119E+00
-4.1020E-06,2.27607E+00
-4.1016E-06,2.28096E+00
-4.1012E-06,2.29072E+00
-4.1008E-06,2.28584E+00
-4.1004E-06,2.29561E+00
-4.1000E-06,2.28096E+00
-4.0996E-06,2.28096E+00
-4.0992E-06,2.28096E+00
-4.0988E-06,2.30049E+00
-4.0984E-06,2.29072E+00
-4.0980E-06,2.29561E+00
-4.0976E-06,2.29561E+00
-4.0972E-06,2.28584E+00
-4.0968E-06,2.30049E+00
-4.0964E-06,2.29561E+00
-4.0960E-06,2.29072E+00
-4.0956E-06,2.28096E+00
-4.0952E-06,2.28584E+00
-4.0948E-06,2.28584E+00
-4.0944E-06,2.29072E+00
-4.0940E-06,2.28096E+00
-4.0936E-06,2.29072E+00
-4.0932E-06,2.29072E+00
-4.0928E-06,2.28096E+00
-4.0924E-06,2.30049E+00
-4.0920E-06,2.28584E+00
-4.0916E-06,2.29561E+00
-4.0912E-06,2.30049E+00
-4.0908E-06,2.29072E+00
-4.0904E-06,2.28584E+00
-4.0900E-06,2.29072E+00
-4.0896E-06,2.29072E+00
-4.0892E-06,2.28096E+00
-4.0888E-06,2.27607E+00
-4.0884E-06,2.28584E+00
-4.0880E-06,2.29072E+00
-4.0876E-06,2.28096E+00
-4.0872E-06,2.28584E+00
-4.0868E-06,2.28584E+00
-4.0864E-06,2.29072E+00
-4.0860E-06,2.29561E+00
-4.0856E-06,2.28584E+00
-4.0852E-06,2.30049E+00
-4.0848E-06,2.30049E+00
-4.0844E-06,2.30049E+00
-4.0840E-06,2.28096E+00
-4.0836E-06,2.30537E+00
-4.0832E-06,2.30049E+00
-4.0828E-06,2.29072E+00
-4.0824E-06,2.28584E+00
-4.0820E-06,2.30049E+00
-4.0816E-06,2.29072E+00
-4.0812E-06,2.29561E+00
-4.0808E-06,2.29072E+00
-4.0804E-06,2.29561E+00
-4.0800E-06,2.28584E+00
-4.0796E-06,2.30537E+00
-4.0792E-06,2.29072E+00
-4.0788E-06,2.30537E+00
-4.0784E-06,2.29072E+00
-4.0780E-06,2.28096E+00
-4.0776E-06,2.27607E+00
-4.0772E-06,2.28096E+00
-4.0768E-06,2.28584E+00
-4.0764E-06,2.28096E+00
-4.0760E-06,2.28096E+00
-4.0756E-06,2.29072E+00
-4.0752E-06,2.28584E+00
-4.0748E-06,2.29561E+00
-4.0744E-06,2.28096E+00
-4.0740E-06,2.30049E+00
-4.0736E-06,2.29072E+00
-4.0732E-06,2.30537E+00
-4.0728E-06,2.28096E+00
-4.0724E-06,2.29561E+00
-4.0720E-06,2.28584E+00
-4.0716E-06,2.28584E+00
-4.0712E-06,2.29072E+00
-4.0708E-06,2.29561E+00
-4.0704E-06,2.27119E+00
-4.0700E-06,2.28096E+00
-4.0696E-06,2.27607E+00
-4.0692E-06,2.29072E+00
-4.0688E-06,2.28096E+00
-4.0684E-06,2.27607E+00
-4.0680E-06,2.28584E+00
-4.0676E-06,2.27607E+00
-4.0672E-06,2.30049E+00
-4.0668E-06,2.29561E+00
-4.0664E-06,2.29072E+00
-4.0660E-06,2.29561E+00
-4.0656E-06,2.29072E+00
-4.0652E-06,2.29072E+00
-4.0648E-06,2.30049E+00
-4.0644E-06,2.29072E+00
-4.0640E-06,2.29072E+00
-4.0636E-06,2.28584E+00
-4.0632E-06,2.26631E+00
-4.0628E-06,2.27607E+00
-4.0624E-06,2.28096E+00
-4.0620E-06,2.30537E+00
-4.0616E-06,2.26631E+00
-4.0612E-06,2.26631E+00
-4.0608E-06,2.28096E+00
-4.0604E-06,2.29561E+00
-4.0600E-06,2.29072E+00
-4.0596E-06,2.28096E+00
-4.0592E-06,2.30049E+00
-4.0588E-06,2.28584E+00
-4.0584E-06,2.29072E+00
-4.0580E-06,2.29072E+00
-4.0576E-06,2.27119E+00
-4.0572E-06,2.29072E+00
-4.0568E-06,2.27607E+00
-4.0564E-06,2.29561E+00
-4.0560E-06,2.28584E+00
-4.0556E-06,2.28096E+00
-4.0552E-06,2.28584E+00
-4.0548E-06,2.29072E+00
-4.0544E-06,2.29072E+00
-4.0540E-06,2.30049E+00
-4.0536E-06,2.28096E+00
-4.0532E-06,2.29561E+00
-4.0528E-06,2.29561E+00
-4.0524E-06,2.28096E+00
-4.0520E-06,2.28096E+00
-4.0516E-06,2.29072E+00
-4.0512E-06,2.27119E+00
-4.0508E-06,2.26631E+00
-4.0504E-06,2.27607E+00
-4.0500E-06,2.28584E+00
-4.0496E-06,2.28584E+00
-4.0492E-06,2.28584E+00
-4.0488E-06,2.28096E+00
-4.0484E-06,2.27607E+00
-4.0480E-06,2.29072E+00
-4.0476E-06,2.29072E+00
-4.0472E-06,2.27607E+00
-4.0468E-06,2.29561E+00
-4.0464E-06,2.28096E+00
-4.0460E-06,2.29072E+00
-4.0456E-06,2.29561E+00
-4.0452E-06,2.28584E+00
-4.0448E-06,2.27607E+00
-4.0444E-06,2.28584E+00
-4.0440E-06,2.27119E+00
-4.0436E-06,2.29561E+00
-4.0432E-06,2.28096E+00
-4.0428E-06,2.28584E+00
-4.0424E-06,2.27607E+00
-4.0420E-06,2.27607E+00
-4.0416E-06,2.28584E+00
-4.0412E-06,2.30049E+00
-4.0408E-06,2.27607E+00
-4.0404E-06,2.30049E+00
-4.0400E-06,2.29561E+00
-4.0396E-06,2.30537E+00
-4.0392E-06,2.29072E+00
-4.0388E-06,2.27119E+00
-4.0384E-06,2.26631E+00
-4.0380E-06,2.28096E+00
-4.0376E-06,2.27119E+00
-4.0372E-06,2.30537E+00
-4.0368E-06,2.27607E+00
-4.0364E-06,2.29072E+00
-4.0360E-06,2.28584E+00
-4.0356E-06,2.29072E+00
-4.0352E-06,2.29072E+00
-4.0348E-06,2.30537E+00
-4.0344E-06,2.29072E+00
-4.0340E-06,2.29072E+00
-4.0336E-06,2.29561E+00
-4.0332E-06,2.29561E+00
-4.0328E-06,2.29072E+00
-4.0324E-06,2.28096E+00
-4.0320E-06,2.29072E+00
-4.0316E-06,2.29561E+00
-4.0312E-06,2.28584E+00
-4.0308E-06,2.29072E+00
-4.0304E-06,2.28096E+00
-4.0300E-06,2.28096E+00
-4.0296E-06,2.28584E+00
-4.0292E-06,2.28096E+00
-4.0288E-06,2.30049E+00
-4.0284E-06,2.29072E+00
-4.0280E-06,2.29561E+00
-4.0276E-06,2.28584E+00
-4.0272E-06,2.27607E+00
-4.0268E-06,2.30537E+00
-4.0264E-06,2.27119E+00
-4.0260E-06,2.31025E+00
-4.0256E-06,2.29072E+00
-4.0252E-06,2.28096E+00
-4.0248E-06,2.28096E+00
-4.0244E-06,2.30049E+00
