"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107446",
"Firmware Version","02.300",
"Date","2024-02-20",
"Time","13:07:15",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Peak Peak",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,V,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3016,,
"Current",,4.380000e-02,,
"Average No.",,1.000000e+03,,
"Min",,3.640000e-02,,
"Max",,7.100000e-02,,
"Mean",,4.385940e-02,,
"StdDev",,2.668600e-03,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,3.620000e-02,,
"Long term Max",,7.780000e-02,,
"Long term Mean",,4.396500e-02,,
"Long term StdDev",,2.727000e-03,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
420,,4.120000e-02,
421,,4.400000e-02,
422,,4.260000e-02,
423,,4.340000e-02,
424,,4.600000e-02,
425,,4.540000e-02,
426,,4.220000e-02,
427,,4.400000e-02,
428,,4.240000e-02,
429,,4.440000e-02,
430,,4.280000e-02,
431,,4.180000e-02,
432,,4.200000e-02,
433,,4.540000e-02,
434,,4.420000e-02,
435,,4.280000e-02,
436,,4.460000e-02,
437,,4.240000e-02,
438,,4.040000e-02,
439,,4.120000e-02,
440,,4.460000e-02,
441,,4.260000e-02,
442,,4.540000e-02,
443,,4.640000e-02,
444,,3.760000e-02,
445,,3.940000e-02,
446,,4.500000e-02,
447,,3.700000e-02,
448,,4.560000e-02,
449,,4.740000e-02,
450,,4.800000e-02,
451,,4.280000e-02,
452,,4.060000e-02,
453,,4.500000e-02,
454,,4.400000e-02,
455,,4.480000e-02,
456,,4.140000e-02,
457,,4.100000e-02,
458,,4.120000e-02,
459,,3.880000e-02,
460,,4.800000e-02,
461,,4.660000e-02,
462,,4.320000e-02,
463,,4.580000e-02,
464,,4.740000e-02,
465,,4.660000e-02,
466,,4.480000e-02,
467,,4.500000e-02,
468,,4.620000e-02,
469,,4.340000e-02,
470,,3.740000e-02,
471,,4.040000e-02,
472,,3.720000e-02,
473,,4.300000e-02,
474,,4.220000e-02,
475,,4.280000e-02,
476,,4.300000e-02,
477,,4.620000e-02,
478,,4.060000e-02,
479,,4.460000e-02,
480,,4.460000e-02,
481,,4.100000e-02,
482,,4.640000e-02,
483,,3.840000e-02,
484,,4.100000e-02,
485,,4.520000e-02,
486,,4.040000e-02,
487,,4.240000e-02,
488,,4.220000e-02,
489,,4.320000e-02,
490,,4.380000e-02,
